1,John,Davis,john.davis@email.com,5551234567,1234567890,123 Main St,GOLD,5000,TRUE, abcdefghi
2,Jane,Sanders,jane.sanders@email.com,5559876543,9876543210,456 Elm St,SILVER,3000,TRUE,bcdefghij
3,Michael,Johnson,michael.j@email.com,5552223333,2468135790,789 Oak Ave,BRONZE,1000,TRUE, cdefghij
4,Emily,Brown,emily.b@email.com,5554445555,1357924680,101 Pine Rd,STANDARD,500,FALSE,defghijk
5,David,Wilson,david.w@email.com,5556667777,3692581470,202 Maple Dr,GOLD,5500,TRUE, efghijkl
6,Sarah,Taylor,sarah.t@email.com,5558889999,1470258369,303 Cedar Ln,SILVER,3500,TRUE, fghijklm
7,Robert,Anderson,robert.a@email.com,5551112222,2581470369,404 Birch Blvd,BRONZE,1500,TRUE, ghijklmn
8,Jennifer,Thomas,jennifer.t@email.com,5553334444,3698521470,505 Spruce Ct,STANDARD,200,FALSE, hijklmno
9,William,Jackson,william.j@email.com,5555556666,1472583690,606 Fir Pl,GOLD,6000,TRUE, ijklmnop
10,Lisa,White,lisa.w@email.com,5557778888,2583691470,707 Redwood Ave,SILVER,2800,TRUE, jklmnopq
11,James,Harris,james.h@email.com,5559990000,3691472580,808 Sequoia St,BRONZE,1200,TRUE, klmnopqr
12,Mary,Martin,mary.m@email.com,5552223333,1478523690,909 Willow Rd,STANDARD,100,FALSE, lmnopqrs
13,Richard,Thompson,richard.t@email.com,5554445555,2589631470,1010 Ash Dr,GOLD,5200,TRUE, mnopqrst
14,Patricia,Garcia,patricia.g@email.com,5556667777,3697412580,1111 Beech Ln,SILVER,3200,TRUE, nopqrstu
15,Charles,Martinez,charles.m@email.com,5558889999,1472583690,1212 Chestnut Blvd,BRONZE,1800,TRUE, opqrstuv
16,Linda,Robinson,linda.r@email.com,5551112222,2581474963,1313 Dogwood Ct,STANDARD,400,FALSE, pqrstuvw
17,Joseph,Clark,joseph.c@email.com,5553334444,3698521470,1414 Elm Pl,GOLD,5800,TRUE, qrstuvwx
18,Elizabeth,Rodriguez,elizabeth.r@email.com,5555556666,1478523690,1515 Fir Ave,SILVER,3400,TRUE, rstuvwxy
